country,#q3,#q4,q#5_min,q#5_max,q#5_avg,q#5_var,q#6_min,q#6_max,q#6_avg,q#6_var,q#7_min,q#7_max,q#7_avg,q#7_var,q#8_min,q#8_max,q#8_avg,q#8_var,q#9_min,q#9_max,q#9_avg,q#9_var,q#10_min,q#10_max,q#10_avg,q#10_var,q#11_min,q#11_max,q#11_avg,q#11_var,q#12_min,q#12_max,q#12_avg,q#12_var,q#13_min,q#13_max,q#13_avg,q#13_var,q#14_var,q#15_var,q#16_var,population,median_age,#aged_65_older,#aged_70_older,economic_performance,death_rates_due_to_heart_disease,diabetes_prevalance,#of_female_smokers,#of_male_smokers,handwashing_facilities,hospital_beds_per_thousand_people,life_expectancy,human_development_index
Morocco,504260.0,8927.0,0.75,1.91,1.0813953488372097,0.058672659356548904,,,,,,,,,,,,,,,,,1.0,25162.0,13822.479797979799,63246254.721109755,9.0,5623358.0,2450476.463414634,4020532372384.073,0.004,0.265,0.09097772277227709,0.004950939949143802,3.8,253.6,31.212128712871298,2364.9498029015053,4554000.0,4174449.0,8728449.0,36910558.0,29.6,6.769,4.209,7485.013,419.146,7.14,0.8,47.1,,1.1,76.68,0.686
Mozambique,69002.0,794.0,0.71,1.58,1.0709495548961425,0.03582171470962273,,,,,,,,,,,,,,,,,-87.0,5923.0,1313.712,858869.6280641715,205.0,499510.0,178949.30606860158,24862130890.932526,0.003,0.336,0.09664361702127656,0.006908891319148937,3.0,370.6,22.623936170212737,1159.2572921985832,57305.0,,57305.0,31255435.0,17.7,3.158,1.87,1136.103,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456
Myanmar,142610.0,3206.0,0.39,2.21,0.9628133704735372,0.15804709077045181,,,,,,,,,,,,,,,,,63.0,83383.0,7817.50974025974,87387077.26700571,1183.0,2482290.0,676337.338607595,684019341745.4309,0.0,0.218,0.04130696202531648,0.002254778491058873,4.6,2531.5,285.9753164556962,222647.4459284711,1000000.0,40000.0,1040000.0,54409794.0,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583
Namibia,46185.0,596.0,0.78,1.6,1.0783904109589044,0.05130221131666902,,,,,,,,,,,,,,,,,15.0,2778.0,1118.5741324921137,411662.37186039996,306.0,366186.0,139301.95321637427,13450531516.80719,0.0,0.257,0.09373315363881406,0.00421796914110876,3.9,937.1,32.06566265060237,6509.816642157754,2526.0,,2526.0,2540916.0,22.0,3.552,2.085,9541.808,243.811,3.94,9.7,34.2,44.6,,63.71,0.646
Nepal,282054.0,3066.0,0.6,2.0,1.0939296187683285,0.10800568914956002,,,,,,,,,,,,,,,,,1.0,20118.0,5721.154613466334,18937987.406034924,3.0,2329547.0,1008522.9808153477,758579380071.5334,0.0,0.252,0.07403890160183066,0.005035867749249468,4.0,1179.5,45.41314432989692,11759.109878459743,,,1700000.0,29136808.0,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602
Netherlands,1402433.0,17063.0,0.62,2.87,1.122952853598016,0.1507328012542744,7.0,1424.0,414.53846153846155,119975.33869115949,1.0,3284.0,1083.1791044776119,622816.4865448315,1.969,738.25,172.44506896551724,25069.688714767097,4.922,3232.552,893.4865517241382,609461.1448984975,,,,,17080.0,8255915.0,3068283.596491228,7026874339700.317,0.006,0.292,0.09022807017543859,0.003848714912280701,3.4,166.7,27.53684210526315,1368.7395112781962,2957777.0,826135.0,3783912.0,17134873.0,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
New Zealand,2591.0,26.0,0.21,1.91,0.8962015503875976,0.08263760694059533,,,,,,,,,,,,,,,,,25.0,25005.0,4933.787878787879,14877633.681311587,225.0,1959282.0,795807.1126373627,355701311085.4446,0.0,0.04,0.0022599009900990106,3.3646924059651615e-05,24.9,27035.0,2155.206735751292,8082494.766032426,105391.0,30194.0,135585.0,4822233.0,37.9,15.322,9.72,36085.843,128.797,8.08,14.8,17.2,,2.61,82.29,0.931
Nicaragua,6778.0,180.0,0.07,1.52,0.7640729483282679,0.3312260434428048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6624554.0,27.3,5.445,3.519,5321.444,137.016,11.47,,,,0.9,74.48,0.66
Niger,5113.0,190.0,0.42,1.57,0.8829866666666671,0.08082688484848491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24206636.0,15.1,2.553,1.378,926.0,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394
Nigeria,164080.0,2061.0,0.6,1.94,1.0481052631578942,0.06943070129148739,,,,,,,,,,,,,,,,,504.0,29602.0,4333.672839506173,19008722.904723566,5000.0,1838174.0,494455.84513274336,178089010308.37146,0.014,0.298,0.10369972451790649,0.004571354336940479,3.4,69.0,17.21763085399448,218.0539424379405,1051096.0,,1051096.0,206139587.0,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,41.949,,54.69,0.539
North America,36412856.0,829178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146144916.0,83381517.0,223770190.0,592072204.0,,,,,,,,,,,,
North Macedonia,145001.0,4357.0,0.66,1.85,1.0909043927648565,0.04466368772676762,,,,,,,,,,,,,,,,,113.0,5569.0,1782.9868421052631,1263553.654179976,3126.0,680661.0,249631.2965879265,39915547398.798645,0.048,0.398,0.17179411764705896,0.009834850260211336,2.5,21.0,8.046256684491985,20.026621338762194,31460.0,,31460.0,2083380.0,39.1,13.26,8.16,13111.214,322.688,10.08,,,,4.28,75.8,0.774
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56516.0,48462.0,104978.0,,,,,,,,,,,,,
Norway,106224.0,707.0,0.6,3.06,1.0975682382134004,0.12298412157574394,,,,,0.0,325.0,97.31920903954803,6642.790168211134,0.0,77.77,11.846101694915252,226.98387592051435,0.0,290.879,62.56855932203388,4521.914106595557,12.0,37943.0,11851.819277108434,86316236.35131826,12.0,4918505.0,1609013.9831325302,2261912933493.055,0.002,0.095,0.020928921568627423,0.0003441005865491158,10.5,607.3,115.73750000000004,15413.992914619166,961631.0,298457.0,1260088.0,5421242.0,39.7,16.821,10.813,64800.057,114.316,5.31,19.6,20.7,,3.6,82.4,0.957
Oceania,41361.0,1020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295471.0,30194.0,1526036.0,42677809.0,,,,,,,,,,,,
Oman,176668.0,1821.0,0.63,1.56,1.1660835509138388,0.04253226525227944,,,,,,,,,,,,,,,,,1314.0,6173.0,3459.310344827586,788042.3932244405,,,,,0.28,0.361,0.33064705882352935,0.00027207294117646916,2.8,3.6,3.0333333333333354,0.026666666666666686,173789.0,19019.0,192808.0,5106622.0,30.7,2.355,1.53,37960.709,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
Pakistan,745182.0,15982.0,0.65,2.48,1.1147208121827414,0.07623363686855011,,,,,,,,,,,,,,,,,16.0,64685.0,26864.421195652172,179614348.54418164,471.0,10942771.0,3885041.601049869,10590466046138.494,0.015,0.256,0.07771573604060904,0.0030677714056909686,3.9,68.7,21.41116751269034,243.60099456219865,1300000.0,,800000.0,220892331.0,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
Palestine,276407.0,2937.0,0.25,4.08,1.1190789473684217,0.23220680113873057,,,,,,,,,,,,,,,,,804.0,11118.0,5702.022026431718,4065706.357919771,,,,,0.093,0.317,0.18627411167512686,0.0044282816222935865,3.2,10.7,6.1192893401015205,4.838299492385788,131394.0,11748.0,143142.0,5101416.0,20.4,3.043,1.726,4449.898,265.91,10.59,,,,,74.05,0.708
Panama,359830.0,6183.0,0.71,2.25,1.0681538461538465,0.057387842594423526,,,,,,,,,,,,,,,,,31.0,19830.0,5658.421052631579,18522700.641364723,107.0,2258477.0,740210.536159601,531130491292.02435,0.038,0.414,0.18418987341772158,0.008649382638308807,2.4,26.5,7.491645569620251,24.968127995887677,354009.0,175008.0,550860.0,4314768.0,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,,2.3,78.51,0.815
Papua New Guinea,9188.0,82.0,0.37,1.58,0.8080708661417323,0.1179255127447014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081.0,,1081.0,8947027.0,22.6,3.808,2.142,3823.194,561.494,17.65,23.5,48.8,,,64.5,0.555
Paraguay,244528.0,5110.0,0.57,2.7,1.1330294906166227,0.08452386203119144,,,,,,,,,,,,,,,,,1.0,6664.0,2464.633416458853,2484702.6727805473,1.0,988318.0,328490.59600997507,85559542294.1764,0.008,0.446,0.182249370277078,0.013717223010966086,2.2,128.5,16.33753148614611,538.7760373253942,57327.0,9639.0,66966.0,7132530.0,26.5,6.378,3.833,8827.01,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728
Peru,1667737.0,55812.0,0.91,1.91,1.1753571428571439,0.05926329923273657,,,,,,,,,,,,,,,,,1.0,23483.0,7312.100686498856,34836840.067820616,1.0,3195388.0,1006562.7963386727,954492429757.6766,0.0,0.377,0.17195359628770324,0.010155365283548263,2.7,50.0,8.655769230769227,43.319581093605244,669878.0,472346.0,1142224.0,32971846.0,29.1,7.151,4.455,12236.706,85.755,5.95,4.8,,,1.6,76.74,0.777
Philippines,904285.0,15594.0,0.84,2.39,1.1317215189873424,0.07069296793677302,,,,,,,,,,,,,,,,,344.0,58975.0,27394.95478723404,179570357.08861732,20276.0,10320779.0,4043183.824933687,10106048042851.777,0.024,0.241,0.07580810810810804,0.0016429955980370617,4.2,42.3,16.1362162162162,46.751855562879925,1093651.0,162065.0,1255716.0,109581085.0,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718
Poland,2642242.0,60612.0,0.71,2.5,1.1453924050632902,0.09682034055130763,,,,,1550.0,32260.0,9696.753581661891,73238140.19197705,,,,,,,,,-239172.0,327863.0,36278.21428571428,967916847.1258698,281787.0,13006467.0,4947860.673295454,12636140539683.248,0.013,0.503,0.15521449275362317,0.01942794223121,2.0,79.7,21.37913043478259,439.91834226491375,6236689.0,2248126.0,8484815.0,37846605.0,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,,6.62,78.73,0.88
Portugal,829358.0,16933.0,0.47,3.24,1.088080808080808,0.17519985168137062,0.0,904.0,251.91959798994975,57652.67361998908,0.0,6869.0,1614.6381909547738,2810180.8007544028,,,,,9.904,882.415,282.4137419354839,54103.615211637225,40.0,77057.0,23583.699266503667,258181214.82355347,25.0,9645758.0,3486447.6097560977,8857139734250.9,0.01,0.204,0.06355831265508684,0.0028940631334641925,4.9,98.1,31.726799007444168,548.4344044047754,1712809.0,647033.0,2359842.0,10196707.0,46.2,21.502,14.924,27936.896,127.842,9.85,16.3,30.0,,3.39,82.05,0.864
Qatar,193952.0,357.0,0.46,2.84,1.0664070351758796,0.09126287672620022,,,,,,,,,,,,,,,,,172.0,10044.0,4584.339331619537,2349068.52888718,5309.0,1825071.0,805705.929113924,300344629697.4264,0.017,0.393,0.10954707379134856,0.009859707599833829,2.5,57.3,16.1145038167939,99.47828400062306,100000.0,,1183191.0,2881060.0,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,,1.2,80.23,0.848
Romania,1020301.0,25800.0,0.8,2.3,1.1112911392405085,0.06378183126646529,6.0,1456.0,678.7267759562842,182430.15528108404,,,,,,,,,2.986,51112.807,11622.56384090909,208464736.11695978,276.0,60206.0,17274.090322580647,128173391.15039149,1921.0,7061866.0,2585733.254285714,5009194463824.055,0.016,0.298,0.1208346055979643,0.006448959819805785,3.4,61.0,14.875318066157782,166.0603331256165,2421982.0,1496942.0,3918924.0,19237682.0,43.0,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,,6.892,76.05,0.828
Russia,4622464.0,102667.0,0.88,2.51,1.1210459183673454,0.12468969609582978,,,,,,,,,,,,,,,,,2243.0,648370.0,310165.2038567493,21084498484.715237,46414.0,125131312.0,50463201.41099476,1597707375467855.5,0.001,0.097,0.03358603491271822,0.000283393204488778,10.3,1796.6,59.13815461346631,23505.702365586025,9473241.0,5690858.0,15164099.0,145934460.0,39.6,14.178,9.393,24765.954,431.297,6.18,23.4,58.3,,8.05,72.58,0.824
Rwanda,23744.0,321.0,0.45,1.76,1.0654278074866308,0.08199324812547487,,,,,,,,,,,,,,,,,-1884.0,21919.0,3189.2278911564626,5139932.811369599,6507.0,1230808.0,463703.14906832296,121841588812.67548,0.001,0.06,0.015779291553133488,0.00016682273938744202,16.8,868.8,126.03651226158031,13921.971614031958,348926.0,,348926.0,12952209.0,20.3,2.974,1.642,1854.211,191.375,4.28,4.7,21.0,4.617,,69.02,0.543
Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3546.0,107.0,3653.0,6071.0,,,,,,,,,,,80.56,
Saint Kitts and Nevis,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10456.0,,10456.0,53192.0,,,,24654.385,,12.84,,,,2.3,76.23,0.779
Saint Lucia,4355.0,64.0,0.72,1.51,1.0175624999999997,0.07666886399371059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20247.0,,23345.0,183629.0,34.9,9.721,6.405,12951.839,204.62,11.62,,,87.202,1.3,76.2,0.759
Saint Vincent and the Grenadines,1818.0,10.0,0.69,1.29,0.9719491525423725,0.027373091409532094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12124.0,110947.0,31.8,7.724,4.832,10727.146,252.675,11.62,,,,2.6,72.53,0.738
Samoa,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198410.0,22.0,5.606,3.564,6021.557,348.977,9.21,16.7,38.1,,,73.32,0.715
San Marino,5010.0,86.0,0.06,1.4,0.7888071065989846,0.1629784716033118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10437.0,8398.0,18835.0,33938.0,,,,56861.47,,5.64,,,,3.8,84.97,
Sao Tome and Principe,2271.0,35.0,0.34,1.3,0.7012536443148684,0.07108702027176789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9724.0,,9724.0,219161.0,18.7,2.886,2.162,3052.714,270.113,2.42,,,41.34,2.9,70.39,0.625
Saudi Arabia,402142.0,6791.0,0.77,2.41,1.084481012658227,0.08995118935937804,,,,,,,,,,,,,,,,,160.0,73912.0,39165.9217603912,360488907.0428833,160.0,16018862.0,6596821.550122249,26757535468057.445,0.001,0.194,0.035624378109452716,0.0021934969603354787,5.2,706.7,105.35746268656706,9195.861502772921,,,6690308.0,34813867.0,31.9,3.295,1.845,49045.411,259.538,17.72,1.8,25.4,,2.7,75.13,0.854
Senegal,39606.0,1085.0,0.69,1.96,1.0434986945169715,0.06382542342761063,,,,,,,,,,,,,,,,,1.0,3029.0,1151.679706601467,375564.0074548153,1.0,471037.0,186002.782396088,19987185019.940285,0.0,0.571,0.08290123456790119,0.0028017575479770186,1.8,78.0,18.95310173697271,268.6545363751961,376974.0,,376974.0,16743930.0,18.7,3.008,1.796,2470.58,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
Serbia,654870.0,5881.0,0.59,2.13,1.117025641025641,0.12565951090897098,,,,,,,,,,,,,,,,,1.0,22837.0,8851.757281553399,28753484.028535623,16.0,3646957.0,1311806.193236715,1244612177316.0066,0.008,0.442,0.14073067331670808,0.014563082281795503,2.3,124.9,28.0930174563591,1016.7858511221955,1807404.0,1212997.0,3020401.0,6804596.0,41.2,17.366,,14048.881,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806
Seychelles,4765.0,25.0,0.1,1.39,0.5822382671480142,0.19337758070423286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66250.0,45944.0,112194.0,98340.0,36.2,8.606,5.586,26382.287,242.648,10.55,7.1,35.7,,3.6,73.4,0.796
Sierra Leone,4016.0,79.0,0.68,1.4,0.9950857142857154,0.03284626770364303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41543.0,876.0,42419.0,7976985.0,19.1,2.538,1.285,1390.3,325.721,2.42,8.8,41.3,19.275,,54.7,0.452
Singapore,60735.0,30.0,0.47,2.16,1.0307334963325179,0.11138720576250055,,,,,,,,,,,,,,,,,,,,,72680.0,9036706.0,3378572.2884615385,7250817493839.27,0.0,0.3,0.021809523809523876,0.0024805478865703584,3.3,6718.3,1628.638935574229,2785452.850474145,1131658.0,535864.0,1667522.0,5850343.0,42.4,12.922,7.049,85535.383,92.243,10.99,5.2,28.3,,2.4,83.62,0.938
Slovakia,373950.0,10877.0,0.52,1.66,1.1065217391304352,0.07047453734671129,,,,,0.0,3836.0,1308.6882352941177,2018521.2594482033,,,,,,,,,24.0,782536.0,73869.04679802955,21342632964.899044,378.0,29990833.0,4249641.960591133,58251067224456.67,0.0,0.178,0.04233000000000002,0.0018805324310776945,5.6,1000.0,125.3799492385786,57808.71621272012,910016.0,331871.0,1241887.0,5459643.0,41.2,15.07,9.167,30155.152,287.959,7.29,23.1,37.7,,5.82,77.54,0.86
Slovenia,229967.0,4142.0,0.37,1.85,1.1011616161616151,0.09990649533307774,0.0,212.0,72.1304347826087,6200.262430323304,5.0,1324.0,424.0076726342711,237281.06404354388,0.0,138.869,43.573750000000004,2378.4379627000003,0.0,899.674,272.90269642857146,98637.66037410618,2.0,8063.0,2669.285035629454,4827686.732846963,2.0,1123769.0,370668.77672209026,123236252106.76428,0.0,0.324,0.1171132530120481,0.01236516347127642,3.1,1000.0,89.2456790123456,42648.90466568878,360450.0,136582.0,497032.0,2078932.0,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,,4.5,81.32,0.917
Solomon Islands,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,2000.0,686878.0,20.8,3.507,2.043,2205.923,459.78,18.68,,,35.89,1.4,73.0,0.567
Somalia,12837.0,656.0,0.41,1.38,0.7917451523545704,0.07114889042782392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15893219.0,16.8,2.731,1.496,,365.769,6.05,,,9.831,0.9,57.4,
South Africa,1562931.0,53571.0,0.5,2.78,1.0895140664961636,0.11841489146829313,,,,,,,,,,,,,,,,,4.0,77167.0,25778.290076335878,230261396.1707432,42.0,10259664.0,4237901.113580246,10715582880164.705,0.015,0.326,0.11651243781094518,0.006884913810002358,3.1,65.2,14.980348258706476,137.43609663651796,292623.0,292623.0,292623.0,59308690.0,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709
South America,22990913.0,611375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42592096.0,15981680.0,58573776.0,430759772.0,,,,,,,,,,,,
South Korea,112789.0,1790.0,0.24,5.76,1.0881339712918663,0.3210948309295148,,,,,,,,,,,,,,,,,5.0,67176.0,18357.76762402089,257861730.91706425,11.0,8220905.0,2527979.796116505,4934442355042.17,0.001,0.049,0.01245945945945943,9.061009090354465e-05,20.5,1876.5,167.82139639639632,49029.82800617209,1379653.0,60571.0,1440224.0,51269183.0,43.4,13.914,8.622,35938.374,85.998,6.8,6.2,40.9,,12.27,83.03,0.916
South Sudan,10416.0,114.0,0.66,1.09,0.8819705882352946,0.013445957834461215,,,,,,,,,,,,,,,,,116.0,7340.0,688.6142857142858,719386.0084886126,19433.0,141630.0,77225.03361344538,1443931889.1853008,0.001,0.242,0.0529910714285714,0.003762268978219089,4.1,761.4,51.587946428571456,4152.7562217729,947.0,,947.0,11193729.0,19.2,3.441,2.032,1569.888,280.775,10.43,,,,,57.85,0.433
Spain,3396685.0,76882.0,0.57,3.24,1.187199017199017,0.22324238147686398,522.0,4894.0,2423.8716216216217,1171497.9902095974,4636.0,32023.0,14715.628378378378,44088260.670481674,2.963,2793.476,480.863564516129,325781.93191975827,18.768,30642.299,5313.795838709676,35196706.613086335,,,,,930230.0,37755805.0,14934485.25,145853880312705.3,0.001,0.429,0.07368587896253609,0.0028326149156269265,2.3,767.9,28.529106628242086,2369.2818382169203,8631548.0,3253537.0,11885085.0,46754783.0,45.5,19.436,13.799,34272.36,99.403,7.17,27.4,31.4,,2.97,83.56,0.904
Sri Lanka,95949.0,608.0,0.59,1.66,1.0243376623376637,0.04416837527056281,,,,,,,,,,,,,,,,,1.0,19687.0,6072.408866995074,32812960.884266865,1.0,2465398.0,659874.8866995074,595640657133.2659,0.0,0.334,0.03215942028985506,0.0013740084219391515,3.0,825.0,88.21770573566089,13062.861960723187,925242.0,,925242.0,21413250.0,34.1,10.069,5.331,11669.077,197.093,10.68,0.3,27.0,,3.6,76.98,0.782
Sudan,32932.0,2208.0,0.32,1.88,1.045266106442576,0.10553511157271894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100010.0,,100010.0,43849269.0,19.7,3.548,2.034,4466.507,431.388,15.67,,,23.437,0.8,65.31,0.51
Suriname,9458.0,185.0,0.55,2.05,1.0290353697749204,0.10663777616429826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33640.0,,33640.0,586634.0,29.6,6.933,4.229,13767.119,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738
Sweden,892480.0,13761.0,0.62,2.41,1.2203970223325062,0.09292272755330055,0.0,551.0,199.14143920595532,23853.828203893707,1.0,3005.0,1228.3275434243176,778380.5441897217,2.934,278.699,103.81092982456141,6177.9923878164145,,,,,7566.0,48560.0,27958.30769230769,143373018.9785069,,,,,0.007,0.247,0.08622846441947565,0.0030832370814677158,4.0,150.2,25.08314606741575,813.6593013432472,1603903.0,638556.0,2242459.0,10099270.0,41.0,19.985,13.433,46949.283,133.982,4.79,18.8,18.9,,2.22,82.8,0.945
Switzerland,630194.0,10498.0,0.46,3.1,1.1493811881188107,0.22036810247401906,,,,,,,,,,,,,,,,,1529.0,57584.0,18656.7125382263,150948448.61036384,2512.0,6100745.0,2209646.5259938836,3479245056857.0054,0.004,0.271,0.08182262996941889,0.005406336541528302,3.7,250.0,37.91865443425073,2720.1215221102807,1121455.0,686248.0,1807703.0,8654618.0,43.1,18.436,12.644,57410.166,99.739,5.59,22.6,28.9,,4.53,83.78,0.955
Syria,20713.0,1414.0,0.23,1.56,1.0507739938080498,0.054117722054496845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500.0,,2500.0,17500657.0,21.7,,2.577,,376.264,,,,70.598,1.5,72.7,0.567
Taiwan,1068.0,11.0,0.17,1.23,0.7941432225063932,0.11102227687061442,,,,,,,,,,,,,,,,,1.0,3244.0,435.5208791208791,151885.14438689064,4.0,198162.0,92116.43516483516,2801355676.5767345,0.0,0.028,0.005112612612612593,2.1097899253655435e-05,36.1,3895.1,378.39338061465725,157840.85753901818,27113.0,,27113.0,23816775.0,42.2,,8.353,,103.957,,,,,,80.46,
Tajikistan,13308.0,90.0,-0.0,2.79,0.7204927536231891,0.26831167509268616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9537642.0,23.3,3.466,2.155,2896.913,427.698,7.11,,,72.704,4.8,71.1,0.668
Tanzania,509.0,21.0,0.0,1.11,0.031108033240997226,0.019180991074176708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59734213.0,17.7,3.108,1.874,2683.304,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529
Thailand,37453.0,97.0,0.45,2.31,1.0604060913705577,0.12856115782539623,,,,,,,,,,,,,,,,,1.0,36098.0,7332.078947368421,50752661.31683056,2.0,3343428.0,1030320.1622807018,868429104078.0475,0.001,0.286,0.01946799116997791,0.0015885813846724882,3.5,1000.0,318.34061810154583,102842.03308103298,510456.0,75576.0,586032.0,69799978.0,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777
Timor,1138.0,2.0,0.27,1.81,1.1283606557377048,0.2810239344262294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318442.0,18.0,3.556,1.897,6570.102,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606
Togo,12214.0,117.0,0.97,1.14,1.076131805157594,0.0017364308533412277,,,,,,,,,,,,,,,,,1.0,2132.0,735.8009950248756,200821.34184439402,2.0,295792.0,108111.16417910448,8094425872.8458,0.0,0.137,0.035284289276807934,0.0008398789775561098,7.3,265.0,46.493147208121805,1315.865932563518,100000.0,,100000.0,8278737.0,19.4,2.839,1.525,1429.813,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515
Trinidad and Tobago,8678.0,150.0,-0.01,2.3,0.8509090909090911,0.33460399707531124,,,,,,,,,,,,,,,,,1.0,30892.0,347.6163141993958,2996776.5220360714,1733.0,119034.0,42894.35398230088,1401862297.5015454,0.0,0.496,0.10648672566371678,0.01631319730847776,2.0,281.1,39.78415841584159,2605.628026358928,11686.0,,11686.0,1399491.0,36.2,10.014,5.819,28763.071,228.467,10.97,,,89.443,3.0,73.51,0.796
Tunisia,279376.0,9553.0,0.49,1.64,1.0892987012987019,0.08179820481601732,,,,,,,,,,,,,,,,,5238.0,8051.0,6320.692307692308,830544.230769231,1109826.0,1191995.0,1150704.142857143,740248872.5934052,0.245,0.273,0.25612500000000005,8.469642857142863e-05,3.7,4.1,3.9125,0.018392857142857117,174534.0,8491.0,183025.0,11818618.0,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74
Turkey,4086957.0,35031.0,0.32,5.16,1.1340769230769245,0.3497054439390947,,,,,,,,,,,,,,,,,7533.0,318217.0,111137.22597402598,4558050630.539951,47823.0,42828122.0,14802223.012987014,162590811721157.9,0.013,0.191,0.059542328042328,0.0025014000603483365,5.2,77.8,32.43465608465607,509.3483713668193,11708135.0,7737134.0,19445269.0,84339067.0,31.6,8.153,5.061,25129.341,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14300.0,10000.0,24300.0,38718.0,,,,,,,,,,,80.22,
Uganda,41263.0,338.0,0.63,1.76,1.0537719298245605,0.05981300354993065,,,,,,,,,,,,,,,,,23.0,8223.0,2648.122950819672,1590123.8366727384,1510.0,976929.0,610749.1573033708,61876211512.76459,0.001,0.162,0.04681249999999999,0.0017927661149825793,6.2,1251.7,91.81423611111103,23857.96777572106,206708.0,,206708.0,45741000.0,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544
Ukraine,1956454.0,40389.0,0.79,2.57,1.1290104166666672,0.05658752991731946,,,,,,,,,,,,,,,,,2914.0,84054.0,23932.354581673306,246679592.6217689,20608.0,8822097.0,3030222.2718120804,7097572658641.152,0.037,0.504,0.17812876712328765,0.009853914692157158,2.0,26.9,8.201369863013701,28.230245371067273,432815.0,5.0,432820.0,43733759.0,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,,8.8,72.06,0.779
United Arab Emirates,491423.0,1545.0,0.78,2.22,1.0987723785166252,0.06440207882484068,,,,,,,,,,,,,,,,,75.0,266023.0,99880.90533980583,4728306226.163767,75.0,41150933.0,12843278.283980582,139400067772804.75,0.0,0.024,0.010566513761467873,3.507372666877571e-05,41.5,5951.0,256.9954128440367,364776.16839270364,3480415.0,2187849.0,9387344.0,9890400.0,34.0,1.144,0.526,67293.483,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
