country,#q3,#q4,q#5_min,q#5_max,q#5_avg,q#5_var,q#6_min,q#6_max,q#6_avg,q#6_var,q#7_min,q#7_max,q#7_avg,q#7_var,q#8_min,q#8_max,q#8_avg,q#8_var,q#9_min,q#9_max,q#9_avg,q#9_var,q#10_min,q#10_max,q#10_avg,q#10_var,q#11_min,q#11_max,q#11_avg,q#11_var,q#12_min,q#12_max,q#12_avg,q#12_var,q#13_min,q#13_max,q#13_avg,q#13_var,q#14_var,q#15_var,q#16_var,population,median_age,#aged_65_older,#aged_70_older,economic_performance,death_rates_due_to_heart_disease,diabetes_prevalance,#of_female_smokers,#of_male_smokers,handwashing_facilities,hospital_beds_per_thousand_people,life_expectancy,human_development_index
Guyana,11527.0,263.0,0.51,1.39,1.032988165680473,0.04217947166962244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60172.0,,60172.0,786559.0,26.3,5.305,2.837,7435.047,373.159,11.62,,,77.159,1.6,69.91,0.682
Haiti,12857.0,252.0,0.91,1.43,1.081725146198831,0.020621355318893544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11402533.0,24.3,4.8,2.954,1653.173,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51
Honduras,198975.0,4929.0,0.97,1.47,1.105315789473686,0.01761124566032495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000.0,2639.0,57639.0,9904608.0,24.9,4.652,2.883,4541.795,240.208,7.21,2.0,,84.169,0.7,75.27,0.634
Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,3610.0,11193673.0,3207578.9411764704,11754514236745.684,,,,,,,,,648896.0,332064.0,980960.0,7496988.0,44.8,16.303,10.158,56054.92,,8.33,,,,,84.86,0.949
Hungary,736982.0,24521.0,0.46,2.36,1.1291752577319578,0.11021172114334418,,,,,57.0,12553.0,3221.71875,11801941.877938023,,,,,,,,,39.0,42553.0,11315.802469135802,112326605.55494435,39.0,4582900.0,1280227.187654321,1735034575901.2812,0.001,0.354,0.09545363408521308,0.007722117819674818,2.8,1042.3,69.85238095238097,17410.965264417344,3090994.0,1325587.0,4416581.0,9660350.0,43.4,18.577,11.976,26777.561,278.296,7.55,26.8,34.8,,7.02,76.88,0.854
Iceland,6279.0,29.0,0.21,2.12,0.9565743073047858,0.1399134875200366,0.0,14.0,1.6952789699570816,9.161055202012735,0.0,80.0,14.94314381270903,399.1880316940135,,,,,0.937,49.669,7.9657500000000026,136.62674410869562,7.0,4525.0,783.2203389830509,461187.74502221524,23.0,323470.0,144853.7699757869,9779535859.59987,0.0,0.132,0.01697290640394083,0.0004541202517788727,7.6,3475.5,272.3562962962964,245892.18959515978,67158.0,28281.0,95439.0,341250.0,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
India,14291917.0,174308.0,0.86,2.22,1.179493670886077,0.09374542825933328,,,,,,,,,,,,,,,,,157.0,1492409.0,684347.488,174195452539.68375,6500.0,262003415.0,95442978.86458333,7507268642440262.0,0.016,0.132,0.05541071428571417,0.0008617362531969302,7.6,62.0,25.16887755102042,237.63330001565814,102349255.0,14874254.0,117223509.0,1380004385.0,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
Indonesia,1589359.0,43073.0,0.85,2.12,1.1084771573604064,0.039517267924723216,,,,,,,,,,,,,,,,,25.0,87194.0,22517.593959731545,284171930.9355864,1230.0,9104944.0,2721932.4594594594,7403864132098.458,0.082,0.424,0.16464948453608244,0.003302068035909318,2.4,12.2,6.703350515463919,3.795001664935134,10457337.0,5550906.0,16008243.0,273523621.0,29.3,5.319,3.053,11188.744,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718
International,721.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,2168872.0,65680.0,0.74,4.83,1.1314320388349515,0.22813833356955548,,,,,,,,,,,,,,,,,9135.0,92186.0,30982.55135135135,280886262.9878376,189790.0,13964570.0,4230187.421259843,12498825166554.643,0.075,0.326,0.14119836956521742,0.0036538324768984713,3.1,13.3,8.026902173913031,5.70447866070371,361951.0,100691.0,462642.0,83992953.0,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,,1.5,76.68,0.783
